127.0.0.1 - - [17/Mar/2024:20:49:39 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:49:39 +0530] "GET /Bank/login.html HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:49:41 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:49:41 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:50:02 +0530] "GET /Bank/login.html HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:50:02 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:50:02 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:52:58 +0530] "GET /Bank/login.html HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:52:59 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:53:00 +0530] "GET /Bank/register.html HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:53:00 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:53:01 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:53:19 +0530] "GET /Bank/login.html HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:53:20 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:53:20 +0530] "GET /Bank/login.jsp?t1=&t2= HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:53:21 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:53:29 +0530] "GET /Bank/login.jsp?t1=&t2= HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:53:30 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:53:31 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:53:33 +0530] "GET /Bank/login.html HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:53:34 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:56:25 +0530] "GET /cart.json HTTP/1.1" 404 760
